SourceCodeId	SourceCodeSystem	SourceCode	SourceName	SourceDescription	Frequency	InitialComments	InitialStatus	ReviewerComments	ReviewerStatus	LastModification	LastModifier	ReviewChecked
316	MEDDRA	10064676	Graft versus host disease in liver		10		Initial mapping			20190515145033		
317	MEDDRA	10065215	Hepatic infection bacterial		3		Initial mapping			20190515145033		
318	MEDDRA	10051734	Hepatic vein stenosis		3		Initial mapping			20190515145033		
319	MEDDRA	10018704	Granulomatous liver disease		10		Initial mapping			20190515145033		
320	MEDDRA	10003479	Aspartate aminotransferase decreased		25		Initial mapping			20190515145033		
321	MEDDRA	10019794	Hepatitis syphilitic		3		Initial mapping			20190724141442	Johan van der Lei	
322	MEDDRA	10067554	Perihepatic abscess		25	Discussion: What exactly is a perihepatic abscess.	Initial mapping			20190515145033		
323	MEDDRA	10051081	Nodular regenerative hyperplasia		10	Discussion: note that this is (i believe) specific for liver.	Initial mapping			20190724125423	Johan van der Lei	
324	MEDDRA	10061203	Hepatobiliary neoplasm		3		Initial mapping			20190724144417	Johan van der Lei	
325	MEDDRA	10004668	Biliary neoplasm		24		Initial mapping			20190515145033		
326	MEDDRA	10067389	Herpes simplex hepatitis		3		Initial mapping			20190724144626	Johan van der Lei	
327	MEDDRA	10050792	Urine bilirubin increased		10		Initial mapping			20190515145033		
328	MEDDRA	10057229	Post cholecystectomy syndrome		24		Initial mapping			20190515145033		
329	MEDDRA	10067737	Lupus hepatitis		3		Initial mapping			20190515145033		
330	MEDDRA	10058441	Biliary ischaemia		23	How does this relate to liver ischeamia? Not clear what is meant here.	No mapping available			20190524121011	Johan van der Lei	
331	MEDDRA	10030897	Opisthorchiasis		3		Initial mapping			20190515145033		
332	MEDDRA	10004585	Bile duct adenocarcinoma		9	In Snomed, Cholangiocarcinoma is a synonym of bile duct adenocarcinoma.	Initial mapping			20190515145033		
333	MEDDRA	10052246	Gallbladder abscess		22		Initial mapping			20190515145033		
334	MEDDRA	10068821	Periportal oedema		3		No mapping available			20190515145033		
335	MEDDRA	10055111	Biliary cancer metastatic		9		Initial mapping			20190724125739	Johan van der Lei	
336	MEDDRA	10004659	Biliary cirrhosis		9		Initial mapping			20190515145033		
337	MEDDRA	10001552	Alanine aminotransferase normal		21		Initial mapping			20190515145033		
338	MEDDRA	10045428	Ultrasound liver abnormal		3	Mapped uphill: ultrasound mapped to imaging.	Initial mapping			20190603180129	Johan van der Lei	
339	MEDDRA	10054936	Cardiac cirrhosis		9		Initial mapping			20190515145033		
340	MEDDRA	10008912	Chronic hepatitis C		20		Initial mapping			20190515145033		
341	MEDDRA	10059506	Urobilinogen urine		3		Initial mapping			20190515145033		
342	MEDDRA	10072284	Varicose veins of abdominal wall		3		No mapping available			20190515145033		
343	MEDDRA	10053870	Alagille syndrome		2		Initial mapping			20190515145033		
344	MEDDRA	10004596	Bile duct cancer recurrent		2		Initial mapping			20190515145033		
345	MEDDRA	10048798	Biliary adenoma		2		No mapping available			20190515145033		
346	MEDDRA	10071069	Biliary cast syndrome		2		No mapping available			20190515145033		
347	MEDDRA	10004664	Biliary fibrosis		2		Initial mapping			20190515145033		
348	MEDDRA	10065203	Biliary tract infection fungal		2		Initial mapping			20190515145033		
